Time,mVResist,mVAmb,deltaTFinal,dc PWM
241,477,277,20.0,51
242,464,280,18.4,51
243,463,280,18.3,51
244,470,278,19.2,51
245,470,278,19.2,51
246,475,288,18.7,51
247,478,280,19.8,51
248,481,272,20.9,51
249,484,278,20.6,51
250,477,270,20.7,51
251,496,278,21.8,51
252,501,279,22.2,51
253,503,279,22.4,51
254,508,278,23.0,51
255,513,278,23.5,51
256,517,278,23.9,51
257,519,280,23.9,51
258,528,272,25.6,51
259,531,277,25.4,51
260,534,280,25.4,51
261,541,279,26.2,51
262,551,278,27.3,51
263,554,283,27.1,51
264,558,281,27.7,51
265,566,281,28.5,51
266,566,281,28.5,51
267,571,270,30.1,51
268,576,279,29.7,51
269,580,279,30.1,21
270,581,281,30.0,21
271,586,282,30.4,21
272,589,278,31.1,21
273,588,282,30.6,21
274,589,282,30.7,21
275,590,282,30.8,21
276,588,281,30.7,21
277,589,281,30.8,21
278,585,281,30.4,21
279,584,276,30.8,21
280,583,284,29.9,21
281,583,265,31.8,21
282,580,279,30.1,21
283,580,279,30.1,21
284,580,281,29.9,21
285,576,279,29.7,21
286,577,275,30.2,21
287,573,279,29.4,21
288,573,280,29.3,21
289,568,278,29.0,21
290,567,280,28.7,21
291,566,281,28.5,21
292,563,278,28.5,21
293,563,279,28.4,21
294,558,280,27.8,21
295,555,282,27.3,21
296,555,275,28.0,21
297,555,282,27.3,21
298,554,280,27.4,21
299,551,282,26.9,21
300,551,278,27.3,21
301,534,282,25.2,21
302,541,278,26.3,21
303,541,282,25.9,21
304,539,279,26.0,21
305,537,281,25.6,21
306,533,280,25.3,21
307,531,279,25.2,21
308,531,277,25.4,21
309,530,282,24.8,21
310,530,278,25.2,21
311,527,277,25.0,21
312,529,280,24.9,21
313,526,275,25.1,21
314,521,278,24.3,21
315,524,276,24.8,21
316,521,282,23.9,21
317,521,277,24.4,21
318,518,277,24.1,21
319,519,278,24.1,21
320,518,279,23.9,21
321,519,280,23.9,21
322,517,296,22.1,21
323,514,278,23.6,21
324,513,279,23.4,21
325,513,277,23.6,21
326,513,280,23.3,21
327,503,281,22.2,21
328,513,286,22.7,21
329,510,281,22.9,21
330,511,281,23.0,21
331,512,278,23.4,21
332,512,279,23.3,21
333,509,283,22.6,21
334,508,280,22.8,21
335,507,279,22.8,21
336,507,278,22.9,21
337,505,279,22.6,21
338,504,281,22.3,21
339,503,281,22.2,21
340,507,281,22.6,21
341,504,281,22.3,21
342,499,277,22.2,21
343,505,282,22.3,21
344,503,281,22.2,21
345,503,281,22.2,21
346,503,266,23.7,21
347,503,279,22.4,21
348,507,279,22.8,21
349,503,279,22.4,21
350,503,276,22.7,21
351,503,269,23.4,21
352,498,279,21.9,21
353,503,280,22.3,51
354,503,279,22.4,51
355,502,281,22.1,51
356,505,281,22.4,51
357,507,281,22.6,51
358,509,280,22.9,51
359,513,278,23.5,51
360,517,283,23.4,51
361,523,281,24.2,51
362,525,281,24.4,51
363,524,279,24.5,51
364,532,277,25.5,51
365,539,278,26.1,51
366,540,274,26.6,51
367,541,278,26.3,51
368,555,282,27.3,51
369,559,278,28.1,51
370,563,283,28.0,51
371,568,276,29.2,51
372,572,279,29.3,51
373,575,280,29.5,51
374,580,279,30.1,51
375,580,279,30.1,51
376,583,279,30.4,51
377,589,280,30.9,51
378,592,281,31.1,51
379,595,281,31.4,51
380,601,279,32.2,51
381,601,280,32.1,21
382,606,279,32.7,21
383,606,282,32.4,21
384,609,280,32.9,21
385,609,277,33.2,21
386,608,273,33.5,21
387,614,279,33.5,21
388,608,276,33.2,21
389,610,279,33.1,21
390,608,279,32.9,21
391,606,282,32.4,21
392,606,278,32.8,21
393,606,277,32.9,21
394,606,279,32.7,21
395,604,279,32.5,21
396,606,282,32.4,21
397,599,279,32.0,21
