N,TempReal,dcPWM
1,16.5,47
2,16.3,47
3,16.3,47
4,16.9,47
5,17.2,47
6,17.4,47
7,18.1,47
8,17.8,47
9,18.6,47
10,18.9,47
11,19.3,47
12,19.8,47
13,20.0,47
14,21.4,47
15,21.1,47
16,21.0,47
17,22.0,47
18,22.3,47
19,22.6,47
20,22.8,47
21,23.5,47
22,23.9,47
23,24.4,47
24,25.1,47
25,25.3,47
26,25.3,47
27,26.0,47
28,26.5,47
29,26.3,47
30,27.7,47
31,27.6,47
32,28.0,47
33,29.4,47
34,29.4,47
35,29.2,47
36,30.0,47
37,33.0,47
38,32.8,47
39,32.9,47
40,33.0,47
41,33.4,47
42,33.8,47
43,33.1,47
44,34.7,47
45,33.9,47
46,34.0,47
47,33.6,47
48,33.9,47
49,33.9,47
50,33.9,47
51,35.7,47
52,37.1,47
53,38.2,47
54,39.4,47
55,39.3,47
56,41.2,47
57,41.4,47
58,42.2,47
59,53.2,47
60,54.2,47
61,81.2,47
62,79.4,47
63,76.5,47
64,72.2,47
65,58.0,47
66,51.8,47
67,51.1,47
68,49.3,47
69,48.9,47
70,48.4,47
71,48.5,47
72,48.3,47
73,48.2,47
74,48.2,47
75,48.7,47
76,47.8,47
77,47.4,47
78,47.3,47
79,46.6,47
80,45.9,47
81,45.9,47
82,45.9,47
83,45.5,47
84,45.2,47
85,45.5,47
86,45.1,47
87,43.1,47
88,41.0,47
89,41.0,47
90,50.7,47
91,61.1,47
92,58.4,47
93,60.3,47
94,61.4,47
95,65.6,47
96,64.9,47
97,64.0,47
98,62.8,47
99,63.1,47
100,60.6,47
101,60.0,47
102,59.7,47
103,59.6,47
104,59.0,47
105,58.9,47
106,59.7,47
107,59.4,47
108,59.6,47
109,59.4,47
110,59.2,47
111,59.5,47
112,59.6,47
113,58.8,47
114,58.7,47
115,57.7,47
116,57.2,47
117,56.0,47
118,54.9,47
119,54.2,47
120,53.9,47
121,53.4,47
122,52.7,47
123,51.9,47
124,47.9,47
125,47.1,47
126,46.2,47
127,46.0,47
128,45.0,47
129,44.4,47
130,43.6,47
131,43.4,47
132,43.1,47
133,42.8,47
134,42.6,47
135,42.1,47
136,42.5,47
137,42.3,47
138,42.1,47
139,42.4,47
140,42.3,47
141,41.9,47
142,42.1,47
143,42.1,47
144,42.0,47
145,42.1,47
146,42.3,47
147,42.3,47
148,42.3,47
149,42.1,47
150,42.4,47
151,42.0,47
152,42.1,47
153,42.8,47
154,42.4,47
155,41.9,47
156,42.6,47
157,42.2,47
158,42.3,47
159,42.9,47
160,42.2,47
161,42.6,47
162,42.2,47
163,42.5,47
164,42.3,47
165,42.9,47
166,42.2,47
167,43.1,47
168,42.6,47
169,42.6,47
170,43.0,47
171,43.0,47
172,42.9,47
173,42.8,47
174,42.8,47
175,42.6,47
176,43.3,47
177,42.9,47
178,42.6,47
179,43.1,47
180,42.8,47
181,43.2,47
182,42.6,47
183,43.3,47
184,42.5,47
185,42.9,47
186,43.4,47
187,43.1,47
188,43.2,47
189,43.8,47
190,43.3,47
191,43.1,47
192,43.6,47
193,43.4,47
194,43.3,47
195,43.5,47
196,43.4,47
197,43.4,47
198,43.5,47
199,43.4,47
200,43.5,47
201,43.5,47
202,43.4,47
203,43.4,47
204,43.3,47
205,43.2,47
206,43.3,47
207,42.5,47
208,43.3,47
209,43.5,47
210,43.9,47
211,43.4,47
212,43.9,47
213,43.3,47
214,43.3,47
215,43.0,47
216,43.5,47
217,43.7,47
218,43.5,47
219,43.6,47
220,43.8,47
221,44.2,47
222,43.5,47
223,44.2,47
224,44.7,17
225,44.1,17
226,43.9,17
227,44.3,17
228,44.1,17
229,43.5,17
230,43.7,17
231,43.0,17
232,43.2,17
233,43.1,17
234,42.2,17
235,42.3,17
236,41.9,17
237,41.5,17
238,40.8,17
239,40.5,17
240,40.1,17
241,39.3,17
242,39.7,17
243,39.2,17
244,39.0,17
245,38.2,17
246,37.9,17
247,36.7,17
248,37.4,17
249,37.3,17
250,36.8,17
251,36.2,17
252,36.0,17
253,35.7,17
254,35.8,17
255,35.5,17
256,34.7,17
257,33.8,17
258,33.7,17
259,33.5,17
260,33.2,17
261,33.3,17
262,32.8,17
263,32.6,17
264,32.4,17
265,33.4,17
266,31.9,17
267,30.7,17
268,31.7,17
269,31.2,17
270,31.3,17
271,31.1,17
272,30.8,17
273,30.5,17
274,30.2,17
275,30.5,17
276,30.1,17
277,29.8,17
278,29.6,17
279,29.2,17
280,29.2,17
281,29.5,17
282,29.2,17
283,29.5,17
284,28.5,17
285,28.9,17
286,28.3,17
287,28.5,17
288,27.5,17
289,27.9,17
290,27.9,17
291,28.5,17
292,27.9,17
293,27.9,17
294,27.8,17
295,26.7,17
296,27.5,17
297,26.7,17
298,26.8,17
299,26.7,17
300,26.7,17
301,25.6,17
302,26.8,17
303,26.4,17
304,26.5,17
305,26.5,17
306,26.5,17
307,26.2,17
308,25.8,17
309,26.1,17
310,25.7,17
311,25.6,17
312,26.1,17
313,26.2,17
314,24.6,17
315,25.5,17
316,25.6,17
317,25.5,17
318,25.6,17
319,25.5,17
320,25.5,17
321,25.7,17
322,25.1,17
323,25.5,17
324,25.8,17
325,25.4,17
326,25.3,17
327,25.9,17
328,25.2,17
329,25.5,17
330,25.2,17
331,24.9,17
332,25.1,17
333,25.3,17
334,24.8,17
335,25.1,17
336,24.8,17
337,25.2,47
338,24.4,47
339,25.0,47
340,24.6,47
341,24.3,47
342,25.1,47
343,24.8,47
344,25.1,47
345,25.4,47
346,25.5,47
347,25.8,47
348,26.3,47
349,26.6,47
350,26.8,47
351,28.1,47
352,27.8,47
353,27.9,47
354,28.6,47
355,29.1,47
356,29.4,47
357,29.4,47
358,30.3,47
359,30.8,47
360,30.7,47
361,31.7,47
362,31.9,47
363,31.0,47
364,32.6,47
365,32.9,47
366,33.5,47
367,32.8,47
368,33.8,47
369,35.2,47
370,34.8,47
371,35.0,47
372,35.2,47
373,35.8,47
374,35.8,47
375,36.2,47
376,36.5,47
377,36.5,47
378,37.0,47
379,37.3,47
380,37.7,47
381,37.8,47
382,38.2,47
383,38.4,47
384,38.7,47
385,38.0,47
386,38.9,47
387,38.5,47
388,38.9,47
389,39.4,47
390,39.4,47
391,40.3,47
392,40.3,47
393,40.3,47
394,40.5,47
395,40.7,47
396,39.9,47
397,40.9,47
398,40.9,47
399,41.1,47
400,41.0,47
401,42.1,47
402,41.1,47
403,41.4,47
404,41.8,47
405,41.1,47
406,41.7,47
407,42.1,47
408,42.0,47
409,42.0,47
410,42.3,47
411,42.6,47
412,42.3,47
413,42.3,47
414,42.5,47
415,43.3,47
416,42.9,47
417,43.1,47
418,43.4,47
419,43.3,47
420,43.2,47
421,43.1,47
422,43.6,47
423,43.8,47
424,43.6,47
425,43.7,47
426,43.7,47
427,43.6,47
428,43.3,47
429,43.7,47
430,43.8,47
431,43.5,47
432,43.8,47
433,43.9,47
434,44.0,47
435,43.9,47
436,44.4,47
437,44.2,47
438,44.2,47
439,44.3,47
440,44.6,47
441,45.1,47
442,44.9,47
443,45.3,47
444,45.0,47
445,45.4,47
446,45.5,47
447,45.3,47
448,45.5,47
449,45.3,47
450,44.9,47
451,44.5,47
452,44.5,47
453,43.9,47
454,44.7,47
455,44.3,47
456,44.2,47
457,44.0,47
458,44.0,47
459,44.4,47
460,44.6,47
461,44.0,47
462,43.9,47
463,44.5,47
464,44.3,47
465,44.9,47
466,43.8,47
467,44.0,47
468,44.2,47
469,44.1,47
470,43.7,47
471,43.8,47
472,44.4,47
473,44.5,47
474,43.7,47
475,44.0,47
